team,year,statName,statValue,category
Air Force,2022,games,13,
Air Force,2022,sacks,24,
Air Force,2022,totalYards,5170,
Air Force,2022,fourthDownConversions,21,
Air Force,2022,kickReturnYards,54,
Air Force,2022,passesIntercepted,9,
Air Force,2022,rushingYards,4254,
Air Force,2022,puntReturns,4,
Air Force,2022,thirdDowns,176,
Air Force,2022,interceptions,2,
Air Force,2022,tacklesForLoss,66,
Air Force,2022,puntReturnTDs,0,
Air Force,2022,interceptionYards,89,
Air Force,2022,puntReturnYards,11,
Air Force,2022,fourthDowns,29,
Air Force,2022,firstDowns,266,
Air Force,2022,netPassingYards,916,
Air Force,2022,turnovers,13,
Air Force,2022,penalties,51,
Air Force,2022,thirdDownConversions,79,
Air Force,2022,passingTDs,8,
Air Force,2022,kickReturns,5,
Air Force,2022,fumblesRecovered,8,
Air Force,2022,interceptionTDs,0,
Air Force,2022,rushingAttempts,802,
Air Force,2022,rushingTDs,37,
Air Force,2022,passAttempts,87,
Air Force,2022,passCompletions,41,
Air Force,2022,kickReturnTDs,0,
Air Force,2022,penaltyYards,386,
Air Force,2022,possessionTime,28361,
Air Force,2022,fumblesLost,11,
Akron,2022,fumblesRecovered,2,
Akron,2022,firstDowns,254,
Akron,2022,fourthDownConversions,12,
Akron,2022,tacklesForLoss,58,
Akron,2022,interceptionTDs,1,
Akron,2022,fumblesLost,12,
Akron,2022,kickReturns,42,
Akron,2022,sacks,18,
Akron,2022,totalYards,4150,
Akron,2022,kickReturnYards,866,
Akron,2022,thirdDownConversions,52,
Akron,2022,thirdDowns,155,
Akron,2022,penalties,72,
Akron,2022,passingTDs,13,
Akron,2022,fourthDowns,24,
Akron,2022,possessionTime,19937,
Akron,2022,interceptions,10,
Akron,2022,passAttempts,457,
Akron,2022,interceptionYards,119,
Akron,2022,passCompletions,296,
Akron,2022,puntReturns,17,
Akron,2022,rushingYards,1026,
Akron,2022,penaltyYards,652,
Akron,2022,rushingAttempts,348,
Akron,2022,rushingTDs,15,
Akron,2022,puntReturnTDs,0,
Akron,2022,games,12,
Akron,2022,passesIntercepted,8,
Akron,2022,netPassingYards,3124,
Akron,2022,turnovers,22,
